"","Incident.Date","State","City.Or.County","Address","X..Killed","X..Injured","Operations","fullad","long","lat"
"145","July 22, 2017","Ohio","Cincinnati","130 E Clifton Ave",0,5,"N/A","130 E Clifton Ave ,  Cincinnati ,  Ohio","NA","NA"
"146","July 19, 2017","Virginia","Richmond","2300 block of Bethel St",0,5,"N/A","2300 block of Bethel St ,  Richmond ,  Virginia","-77.4185708","37.5551184"
"147","July 19, 2017","California","Los Angeles","Imperial Hwy and Broadway",1,3,"N/A","Imperial Hwy and Broadway ,  Los Angeles ,  California","NA","NA"
"148","July 18, 2017","New Jersey","Trenton","Hewitt St and Division St",1,3,"N/A","Hewitt St and Division St ,  Trenton ,  New Jersey","-74.743731","40.208135"
"149","July 18, 2017","Wisconsin","Milwaukee","3000 Block of N 39th St",0,4,"N/A","3000 Block of N 39th St ,  Milwaukee ,  Wisconsin","NA","NA"
"150","July 18, 2017","Arizona","El Mirage","NW Grand Ave and W Thunderbird Rd",0,4,"N/A","NW Grand Ave and W Thunderbird Rd ,  El Mirage ,  Arizona","-112.3123446","33.6089076"
"151","July 15, 2017","Pennsylvania","Philadelphia","21st and Fitzwater",1,3,"N/A","21st and Fitzwater ,  Philadelphia ,  Pennsylvania","-75.1773756","39.9432388"
"152","July 15, 2017","Illinois","Chicago","12200 block of S Throop St",0,4,"N/A","12200 block of S Throop St ,  Chicago ,  Illinois","NA","NA"
"153","July 9, 2017","Virginia","Lawrenceville","500 block Sturgeon Rd",0,7,"N/A","500 block Sturgeon Rd ,  Lawrenceville ,  Virginia","-77.7709003","36.8119383"
"154","July 8, 2017","Illinois","Alton","700 block of Oakwood",0,4,"N/A","700 block of Oakwood ,  Alton ,  Illinois","-90.1732977","38.9170242"
"155","July 8, 2017","Ohio","Cincinnati","9917 Capstan Dr",1,8,"N/A","9917 Capstan Dr ,  Cincinnati ,  Ohio","-84.5966016","39.2540291"
"156","July 6, 2017","Mississippi","Meridian","Eighth Ave",0,4,"N/A","Eighth Ave ,  Meridian ,  Mississippi","-88.6865333","32.3817211"
"157","July 5, 2017","Georgia","Savannah","Jefferson Street and West St. Julian Street",0,4,"N/A","Jefferson Street and West St. Julian Street ,  Savannah ,  Georgia","-81.0949588","32.0808246"
"158","July 5, 2017","Illinois","Chicago (Roseland)","11000 block of S Eberhart",2,2,"N/A","11000 block of S Eberhart ,  Chicago (Roseland) ,  Illinois","-87.6112518","41.6945082"
"159","July 5, 2017","Maine","Madison","300 block of Russell Rd",4,1,"N/A","300 block of Russell Rd ,  Madison ,  Maine","-69.7873286","44.7905886"
"160","July 4, 2017","Florida","Orlando (Pine Castle)","501 W Lancaster Rd",0,4,"N/A","501 W Lancaster Rd ,  Orlando (Pine Castle) ,  Florida","-81.3828292","28.4656126"
"161","July 4, 2017","Virginia","Hampton","500 block of Patterson Ave",1,4,"N/A","500 block of Patterson Ave ,  Hampton ,  Virginia","-76.3606308","37.0325392"
"162","July 4, 2017","North Carolina","Raleigh","105 E South St",1,3,"N/A","105 E South St ,  Raleigh ,  North Carolina","-78.6379676","35.7724084"
"163","July 3, 2017","Alabama","Prattville","112 US 82",3,1,"N/A","112 US 82 ,  Prattville ,  Alabama","-86.4725495","32.4381166"
"164","July 3, 2017","Michigan","Pontiac","50 block of Thorpe St",1,3,"N/A","50 block of Thorpe St ,  Pontiac ,  Michigan","-83.3115607","42.6371668"
"165","July 2, 2017","New Jersey","Jersey City","Wilkinson Avenue",0,4,"N/A","Wilkinson Avenue ,  Jersey City ,  New Jersey","-74.080444","40.7063283"
"166","July 2, 2017","South Carolina","Greenwood","SC 72 Bypass",0,4,"N/A","SC 72 Bypass ,  Greenwood ,  South Carolina","NA","NA"
"167","July 1, 2017","Illinois","Momence","2727 S 13000 Rd E",0,4,"N/A","2727 S 13000 Rd E ,  Momence ,  Illinois","-87.6198026","41.0852412"
"168","July 1, 2017","New Jersey","Newark","Lincoln Park and Pennsylvania Avenue",2,2,"N/A","Lincoln Park and Pennsylvania Avenue ,  Newark ,  New Jersey","-74.1796367","40.7258888"
"169","July 1, 2017","California","Oakland","3200 Humboldt Ave",0,4,"N/A","3200 Humboldt Ave ,  Oakland ,  California","NA","NA"
"170","July 1, 2017","Arkansas","Little Rock","220 W 6th St",0,25,"N/A","220 W 6th St ,  Little Rock ,  Arkansas","-92.2727594","34.7433692"
"171","June 30, 2017","New York","Bronx","1650 Grand Concourse",2,6,"N/A","1650 Grand Concourse ,  Bronx ,  New York","-73.9110798","40.8434675"
"172","June 27, 2017","Illinois","Chicago","200 block of S Lotus",0,5,"N/A","200 block of S Lotus ,  Chicago ,  Illinois","-87.7619121","41.8780929"
"173","June 25, 2017","District of Columbia","Washington","5900 block of Southern Ave SE",0,4,"N/A","5900 block of Southern Ave SE ,  Washington ,  District of Columbia","NA","NA"
"174","June 25, 2017","Missouri","Saint Louis","5000 block of Thekla Ave",1,3,"N/A","5000 block of Thekla Ave ,  Saint Louis ,  Missouri","-90.2419835","38.6885561"
"175","June 24, 2017","Florida","Fort Lauderdale","2335 NW 16th Ct",1,4,"N/A","2335 NW 16th Ct ,  Fort Lauderdale ,  Florida","-80.1733167","26.1468961"
"176","June 24, 2017","New York","New York (Manhattan)","114th St and Manhattan Ave",0,5,"N/A","114th St and Manhattan Ave ,  New York (Manhattan) ,  New York","-73.9577813","40.8037381"
"177","June 24, 2017","New Jersey","Willingboro","Pastoral Lane",0,4,"N/A","Pastoral Lane ,  Willingboro ,  New Jersey","-74.8972571","40.0329509"
"178","June 22, 2017","Georgia","Atlanta","1100 block of Osborne Street",1,6,"N/A","1100 block of Osborne Street ,  Atlanta ,  Georgia","-84.4239239","33.7041596"
"179","June 18, 2017","Missouri","Saint Louis","1900 block of N 14th St",3,2,"N/A","1900 block of N 14th St ,  Saint Louis ,  Missouri","-90.193861","38.6443712"
"180","June 18, 2017","District of Columbia","Washington","3100 block of Buena Vista Terrace SE",0,4,"N/A","3100 block of Buena Vista Terrace SE ,  Washington ,  District of Columbia","-76.9656792","38.8523724"
"181","June 18, 2017","Illinois","Chicago","3300 block of W Crystal St",0,4,"N/A","3300 block of W Crystal St ,  Chicago ,  Illinois","-87.709434","41.903988"
"182","June 18, 2017","South Carolina","Myrtle Beach","311 N Ocean Blvd",0,7,"N/A","311 N Ocean Blvd ,  Myrtle Beach ,  South Carolina","NA","NA"
"183","June 17, 2017","Ohio","Columbus","6252 Busch Blvd",1,4,"N/A","6252 Busch Blvd ,  Columbus ,  Ohio","-82.992195","40.0936654"
"184","June 17, 2017","Illinois","Chicago","1 block of North Latrobe",0,4,"N/A","1 block of North Latrobe ,  Chicago ,  Illinois","-87.756284","41.8803762"
"185","June 15, 2017","Virginia","Richmond","4053 Old Brook Road",1,3,"N/A","4053 Old Brook Road ,  Richmond ,  Virginia","NA","NA"
"186","June 15, 2017","New Mexico","La Madera","491 NM 111",5,0,"N/A","491 NM 111 ,  La Madera ,  New Mexico","NA","NA"
"187","June 14, 2017","Ohio","Canton","14th St. NE and Gibbs Ave. NE",0,4,"N/A","14th St. NE and Gibbs Ave. NE ,  Canton ,  Ohio","NA","NA"
"188","June 14, 2017","Virginia","Alexandria","420 E Monroe Ave",1,5,"N/A","420 E Monroe Ave ,  Alexandria ,  Virginia","NA","NA"
"189","June 14, 2017","California","San Francisco","720 San Bruno",4,2,"N/A","720 San Bruno ,  San Francisco ,  California","NA","NA"
"190","June 13, 2017","Maryland","Baltimore","3300 block of Ayrdale Avenue",0,4,"N/A","3300 block of Ayrdale Avenue ,  Baltimore ,  Maryland","-76.6815892","39.3262709"
"191","June 13, 2017","Maryland","Baltimore","1200 block of Bonaparte Avenue",2,2,"N/A","1200 block of Bonaparte Avenue ,  Baltimore ,  Maryland","-76.5998126","39.3155115"
"192","June 13, 2017","Missouri","Saint Louis (University City)","Ferguson Ave and Plymouth Ave",0,4,"N/A","Ferguson Ave and Plymouth Ave ,  Saint Louis (University City) ,  Missouri","-90.309979","38.6691736"
"193","June 11, 2017","Illinois","Chicago","3300 block of W Douglas Blvd",0,9,"N/A","3300 block of W Douglas Blvd ,  Chicago ,  Illinois","-87.7082169","41.863228"
"194","June 11, 2017","Tennessee","Chattanooga","4272 Bonny Oaks Drive",0,4,"N/A","4272 Bonny Oaks Drive ,  Chattanooga ,  Tennessee","NA","NA"
"195","June 11, 2017","Texas","Houston","505 Cypress Station Dr",0,4,"N/A","505 Cypress Station Dr ,  Houston ,  Texas","-95.4372863","30.0301341"
"196","June 10, 2017","Tennessee","Memphis","571 East Street",0,4,"N/A","571 East Street ,  Memphis ,  Tennessee","-90.0315047","35.1313649"
"197","June 9, 2017","Texas","Fort Worth","East Davis Avenue and New York Avenue",2,5,"N/A","East Davis Avenue and New York Avenue ,  Fort Worth ,  Texas","-97.3156891","32.7208731"
"198","June 8, 2017","Louisiana","New Orleans","3650 Franklin Ave",0,6,"N/A","3650 Franklin Ave ,  New Orleans ,  Louisiana","-90.0500662","29.9965578"
"199","June 6, 2017","Utah","Sandy","2232 Alta Canyon Drive",3,2,"N/A","2232 Alta Canyon Drive ,  Sandy ,  Utah","-111.8267225","40.594021"
"200","June 5, 2017","Florida","Orlando","2427 Forsyth Rd",6,0,"N/A","2427 Forsyth Rd ,  Orlando ,  Florida","-81.2936461","28.5798001"
"201","June 3, 2017","Missouri","Saint Louis","1600 Block of Union Blvd",2,2,"N/A","1600 Block of Union Blvd ,  Saint Louis ,  Missouri","-90.2671709","38.666531"
"202","June 3, 2017","Louisiana","New Orleans","3717 Tulane Ave",3,2,"N/A","3717 Tulane Ave ,  New Orleans ,  Louisiana","-90.101677","29.9672618"
"203","June 2, 2017","Texas","Laredo","5301 McPherson Rd",2,3,"N/A","5301 McPherson Rd ,  Laredo ,  Texas","-99.4820939","27.5450746"
"204","June 2, 2017","California","Los Angeles","89th St and Broadway",1,3,"N/A","89th St and Broadway ,  Los Angeles ,  California","-118.2782224","33.9555242"
"205","June 1, 2017","Missouri","Saint Louis","Beacon Ave and Lillian Ave",3,1,"N/A","Beacon Ave and Lillian Ave ,  Saint Louis ,  Missouri","-90.2522415","38.6942927"
"206","May 30, 2017","Ohio","Middletown","1200 Elliott Dr",1,3,"N/A","1200 Elliott Dr ,  Middletown ,  Ohio","-84.3524533","39.5010979"
"207","May 29, 2017","Kentucky","Louisville","231 Witherspoon St",1,3,"N/A","231 Witherspoon St ,  Louisville ,  Kentucky","-85.7503798","38.2576324"
"208","May 28, 2017","Alabama","Phenix City","100 block of 6th Street South",0,12,"N/A","100 block of 6th Street South ,  Phenix City ,  Alabama","-84.9951819","32.4359375"
"209","May 28, 2017","New Jersey","Paterson","86 Main Street",1,5,"N/A","86 Main Street ,  Paterson ,  New Jersey","-74.1730572","40.9197182"
"210","May 28, 2017","Mississippi","Moss Point","6103 Hwy. 63",0,5,"N/A","6103 Hwy. 63 ,  Moss Point ,  Mississippi","-88.5257491","30.431394"
"211","May 27, 2017","New York","New York (Manhattan)","318 W 14th St",0,4,"N/A","318 W 14th St ,  New York (Manhattan) ,  New York","-74.0036398","40.7399797"
"212","May 27, 2017","District of Columbia","Washington","100 block of Q Street Northwest",1,7,"N/A","100 block of Q Street Northwest ,  Washington ,  District of Columbia","-77.0121588","38.9111209"
"213","May 27, 2017","Mississippi","Bogue Chitto","2871 Lee Drive",8,1,"N/A","2871 Lee Drive ,  Bogue Chitto ,  Mississippi","-90.4605137","31.4123608"
"214","May 26, 2017","Florida","Miami","2730 NW 167th St",0,4,"N/A","2730 NW 167th St ,  Miami ,  Florida","-80.2457992","25.9260023"
"215","May 21, 2017","Iowa","Des Moines","4300 Beaver Dr",1,3,"N/A","4300 Beaver Dr ,  Des Moines ,  Iowa","-93.6788833","41.6388596"
"216","May 21, 2017","Arizona","Mesa","441 N Val Vista Dr",0,4,"N/A","441 N Val Vista Dr ,  Mesa ,  Arizona","-111.752181","33.423802"
"217","May 20, 2017","Pennsylvania","Philadelphia","2100 block of W Huntingdon St",0,10,"N/A","2100 block of W Huntingdon St ,  Philadelphia ,  Pennsylvania","NA","NA"
"218","May 16, 2017","South Carolina","Ruffin","21785 Lowcountry Hwy",3,1,"N/A","21785 Lowcountry Hwy ,  Ruffin ,  South Carolina","-80.8151781","33.0048377"
"219","May 14, 2017","Arkansas","Jonesboro","311 S Main St",1,6,"N/A","311 S Main St ,  Jonesboro ,  Arkansas","NA","NA"
"220","May 14, 2017","Illinois","Dolton","14112 Chicago Road",0,5,"N/A","14112 Chicago Road ,  Dolton ,  Illinois","NA","NA"
"221","May 14, 2017","Florida","Avon Park","Hal McRae Blvd and Delaney Ave",0,5,"N/A","Hal McRae Blvd and Delaney Ave ,  Avon Park ,  Florida","NA","NA"
"222","May 14, 2017","Texas","Fort Worth","8600 block of Calmont Ave",0,4,"N/A","8600 block of Calmont Ave ,  Fort Worth ,  Texas","-97.4667781","32.7357097"
"223","May 10, 2017","New Jersey","Trenton","300 block of Centre St",1,3,"N/A","300 block of Centre St ,  Trenton ,  New Jersey","-74.7594865","40.209726"
"224","May 9, 2017","Kansas","Kansas City","1900 block of S. Boeke",3,1,"N/A","1900 block of S. Boeke ,  Kansas City ,  Kansas","NA","NA"
"225","May 7, 2017","Illinois","Chicago","2600 block of 46th Pl",2,8,"N/A","2600 block of 46th Pl ,  Chicago ,  Illinois","-87.6893421","41.8092732"
"226","May 4, 2017","Michigan","Flint","600 block of Copeman Boulevard",1,3,"N/A","600 block of Copeman Boulevard ,  Flint ,  Michigan","-83.7112955","43.028638"
"227","May 2, 2017","Florida","Jacksonville","1566 West 24th Street",1,3,"N/A","1566 West 24th Street ,  Jacksonville ,  Florida","-81.6819579","30.3585197"
"228","May 1, 2017","Texas","Dallas","3200 block of Reynolds Ave",2,3,"N/A","3200 block of Reynolds Ave ,  Dallas ,  Texas","-96.7407147","32.7864089"
"229","April 30, 2017","California","San Diego","9080 Judicial Dr",2,6,"N/A","9080 Judicial Dr ,  San Diego ,  California","NA","NA"
"230","April 30, 2017","Kansas","Topeka","4104 SW 28th",4,1,"N/A","4104 SW 28th ,  Topeka ,  Kansas","-95.7280872","39.0169769"
"231","April 30, 2017","Florida","Jacksonville","1200 Ken Knight Dr N",0,5,"N/A","1200 Ken Knight Dr N ,  Jacksonville ,  Florida","-81.7169292","30.3914235"
"232","April 30, 2017","South Carolina","Loris","268 N Sea Green Rd",1,5,"N/A","268 N Sea Green Rd ,  Loris ,  South Carolina","-78.9778886","34.1016639"
