,Incident.Date,State,City.Or.County,Address,X..Killed,X..Injured,Operations,fullad,long,lat
90,20-Aug-14,Tennessee,Memphis,1400 block of Briarcrest Lane,0,5,N/A,"1400 block of Briarcrest Lane ,  Memphis ,  Tennessee",-90.014954,35.224414
91,18-Aug-14,Louisiana,Saint Martinville,Main and Hyacinth streets,0,4,N/A,"Main and Hyacinth streets ,  Saint Martinville ,  Louisiana",-91.831698,30.117309
92,17-Aug-14,Massachusetts,Boston,Edinboro Street,0,4,N/A,"Edinboro Street ,  Boston ,  Massachusetts",-71.0597534,42.3521491
93,17-Aug-14,California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,N/A,"Purdue Street and Georgetown Avenue ,  East Palo Alto ,  California",-122.1377406,37.4789729
94,17-Aug-14,Nevada,Las Vegas,Owens Avenue and H Street,0,4,N/A,"Owens Avenue and H Street ,  Las Vegas ,  Nevada",-115.151878,36.188408
95,17-Aug-14,New York,Queens,153-38 118th Ave,0,4,N/A,"153-38 118th Ave ,  Queens ,  New York",-73.7884812,40.6808923
96,16-Aug-14,New Jersey,Plainfield,West 3rd Street and Monroe Avenue,1,3,N/A,"West 3rd Street and Monroe Avenue ,  Plainfield ,  New Jersey",-74.438195,40.604174
97,16-Aug-14,Utah,Salt Lake City,122 Pierpont Avenue,0,6,N/A,"122 Pierpont Avenue ,  Salt Lake City ,  Utah",-111.8949323,40.7640947
98,14-Aug-14,Tennessee,Memphis,797 Pope Street,1,3,N/A,"797 Pope Street ,  Memphis ,  Tennessee",-89.956144,35.154015
99,13-Aug-14,Tennessee,Clarksville,Treeland Drive,0,4,N/A,"Treeland Drive ,  Clarksville ,  Tennessee",-87.3100759,36.58957
100,13-Aug-14,Louisiana,New Orleans,New Orleans and North Rocheblave streets,0,4,N/A,"New Orleans and North Rocheblave streets ,  New Orleans ,  Louisiana",-90.0660797,29.9812248
101,12-Aug-14,New York,Buffalo,Oakmont Avenue,1,3,N/A,"Oakmont Avenue ,  Buffalo ,  New York",-78.80785,42.932381
102,12-Aug-14,Georgia,Bartow County,Brent Circle,2,3,N/A,"Brent Circle ,  Bartow County ,  Georgia",-84.8861039,34.1744098
